Provincias,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
BUENOS AIRES,Morón,,SI,SI,,SI,SI,
BUENOS AIRES,,,SI,,,SI,,SI
BUENOS AIRES,,Tres Picos,--,,--,SI,,--
,Tornquist,Villa Serrana La Gruta,,--,--,,--,
,Tornquist,Villa Ventana,SI,--,--,SI,SI,--
BUENOS AIRES,,30 de Agosto,--,,SI,SI,,--
BUENOS AIRES,,,--,--,,SI,SI,--
BUENOS AIRES,,Girodias,SI,,--,--,,
BUENOS AIRES,,,--,,,--,,--
Buenos Aires,Trenque Lauquen,Trenque Lauquen,SI,SI,SI,SI,SI,SI
Buenos Aires,Trenque Lauquen,Trongé,,--,--,,--,--
BUENOS AIRES,Tres Arroyos,Balneario Orense,,--,--,,--,--
,San Antonio,Los Alisos,SI,--,--,--,--,
CABA,COMUNA 01,,SI,SI,,SI,SI,SI
CORDOBA,,,--,,--,SI,,--
,Calamuchita,Las Bajadas,,--,--,,--,
CORDOBA,Calamuchita,Las Caleras,,--,--,,SI,--
CORDOBA,,,SI,,,SI,,SI
CORDOBA,,Los Molinos,--,,--,--,,--
,Calamuchita,Los Reartes,,--,SI,,SI,
,COMUNA 06,CABALLITO,SI,SI,SI,SI,SI,
,Río Primero,La Puerta,,--,SI,,SI,--
CORDOBA,Río Primero,La Quinta,,--,--,,--,--
CORDOBA,,Las Gramillas,--,,--,SI,,
CORDOBA,Río Primero,,--,--,,--,SI,
CORDOBA,Río Primero,Maquinista Gallini,,--,--,,--,--
,Río Primero,Monte del Rosario,,--,--,,--,--
CORDOBA,Río Primero,Montecristo,,--,SI,,SI,SI
,Río Primero,Obispo Trejo,,--,--,,--,
CABA,COMUNA 10,,SI,SI,,SI,SI,SI
CORDOBA,,Sinsacate,SI,,SI,SI,,--
CORDOBA,,Villa del Totoral,SI,,SI,SI,,
CORDOBA,,,--,,,--,,--
,Tulumba,Churqui Cañada,--,--,--,--,--,--
,Tulumba,El Rodeo,,--,--,,--,--
CORDOBA,Tulumba,,--,--,,--,,
CORDOBA,,Las Arrias,SI,,--,SI,,
,COMUNA 14,PALERMO,SI,SI,SI,SI,SI,SI
ENTRE RIOS,Diamante,Aldea Valle María,,--,SI,,SI,--
ENTRE RIOS,,,--,,,--,,
ENTRE RIOS,Diamante,,--,--,,--,--,
ENTRE RIOS,,,SI,,,SI,,--
ENTRE RIOS,,Estación Camps,--,,--,--,,--
,Diamante,Estacion Puiggari,,--,--,,--,
,Diamante,General Alvear,--,--,--,SI,SI,
ENTRE RIOS,,General Racedo,--,,--,SI,,--
FORMOSA,,,SI,,,SI,SI,SI
