Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2016,1,Santa Fe,551378,618,551.996
2016,1,Santiago Del Estero,37695,3,37.698
2016,1,Tierra Del Fuego,29867,619,30.486
2016,1,Tucumán,146596,41,146.637
2015,4,Buenos Aires,2946743,12642,2.959.385
2015,4,Capital Federal,1360381,9845,1.370.226
2015,4,Catamarca,26459,13,26.472
2015,4,Chaco,86537,16,86.553
2015,4,Chubut,62279,1740,64.019
2015,4,Córdoba,625835,235,626.070
2015,4,Corrientes,85409,26,85.435
2015,4,Entre Ríos,173957,180,174.137
2015,4,Formosa,28088,1,28.089
2015,4,Jujuy,39922,2,39.924
2015,4,La Pampa,66054,312,66.366
2015,4,La Rioja,16914,18,16.932
2015,4,Mendoza,169251,1556,170.807
2015,4,Misiones,92846,7,92.853
2015,4,Neuquén,105122,2294,107.416
